[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\LabSolutions\Data\Project1\stephen\2016-01-04\93.gcd
Output Date	1/5/2016
Output Time	4:51:46 PM

[Configuration]
Instrument Name	WEISSTA-PC-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#2
Detector Name	DFID1
# of Channels	1

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	9600
Start Time(min)	0.001
End Time(min)	6.400
R.Time (min)	Intensity
0.00050	9
0.00117	9
0.00183	9
0.00250	9
0.00317	9
0.00383	9
0.00450	9
0.00517	9
0.00583	9
0.00650	9
0.00717	10
0.00783	10
0.00850	10
0.00917	10
0.00983	10
0.01050	10
0.01117	10
0.01183	11
0.01250	11
0.01317	11
0.01383	11
0.01450	11
0.01517	11
0.01583	10
0.01650	10
0.01717	10
0.01783	10
0.01850	10
0.01917	9
0.01983	9
0.02050	9
0.02117	8
0.02183	8
0.02250	7
0.02317	7
0.02383	6
0.02450	6
0.02517	5
0.02583	5
0.02650	4
0.02717	3
0.02783	2
0.02850	2
0.02917	1
0.02983	-0
0.03050	-1
0.03117	-2
0.03183	-3
0.03250	-4
0.03317	-5
0.03383	-6
0.03450	-6
0.03517	-7
0.03583	-8
0.03650	-9
0.03717	-10
0.03783	-11
0.03850	-11
0.03917	-12
0.03983	-13
0.04050	-13
0.04117	-14
0.04183	-15
0.04250	-15
0.04317	-16
0.04383	-16
0.04450	-17
0.04517	-18
0.04583	-18
0.04650	-19
0.04717	-19
0.04783	-20
0.04850	-20
0.04917	-20
0.04983	-21
0.05050	-21
0.05117	-22
0.05183	-22
0.05250	-22
0.05317	-23
0.05383	-23
0.05450	-23
0.05517	-23
0.05583	-24
0.05650	-24
0.05717	-24
0.05783	-25
0.05850	-25
0.05917	-25
0.05983	-26
0.06050	-26
0.06117	-26
0.06183	-27
0.06250	-27
0.06317	-27
0.06383	-27
0.06450	-28
0.06517	-28
0.06583	-28
0.06650	-28
0.06717	-29
0.06783	-29
0.06850	-29
0.06917	-30
0.06983	-30
0.07050	-30
0.07117	-31
0.07183	-31
0.07250	-31
0.07317	-32
0.07383	-32
0.07450	-32
0.07517	-33
0.07583	-33
0.07650	-33
0.07717	-34
0.07783	-34
0.07850	-34
0.07917	-35
0.07983	-35
0.08050	-35
0.08117	-35
0.08183	-36
0.08250	-36
0.08317	-36
0.08383	-36
0.08450	-36
0.08517	-36
0.08583	-36
0.08650	-34
0.08717	-27
0.08783	-11
0.08850	12
0.08917	50
0.08983	121
0.09050	212
0.09117	319
0.09183	453
0.09250	611
0.09317	809
0.09383	1022
0.09450	1254
0.09517	1511
0.09583	1780
0.09650	2098
0.09717	2475
0.09783	2865
0.09850	3301
0.09917	3772
0.09983	4311
0.10050	4851
0.10117	5377
0.10183	5893
0.10250	6393
0.10317	6899
0.10383	7442
0.10450	7975
0.10517	8540
0.10583	9113
0.10650	9669
0.10717	10206
0.10783	10763
0.10850	11340
0.10917	11897
0.10983	12419
0.11050	12906
0.11117	13353
0.11183	13770
0.11250	14146
0.11317	14491
0.11383	14822
0.11450	15141
0.11517	15434
0.11583	15712
0.11650	15965
0.11717	16180
0.11783	16359
0.11850	16508
0.11917	16629
0.11983	16720
0.12050	16787
0.12117	16832
0.12183	16855
0.12250	16860
0.12317	16847
0.12383	16818
0.12450	16772
0.12517	16714
0.12583	16645
0.12650	16560
0.12717	16463
0.12783	16391
0.12850	16594
0.12917	17960
0.12983	22898
0.13050	36867
0.13117	70669
0.13183	141987
0.13250	277121
0.13317	506865
0.13383	863447
0.13450	1375275
0.13517	2067210
0.13583	2958455
0.13650	4064517
0.13717	5396621
0.13783	6962909
0.13850	8768610
0.13917	10816700
0.13983	13107736
0.14050	15640349
0.14117	18411507
0.14183	21416691
0.14250	24650488
0.14317	28106411
0.14383	31776854
0.14450	35652921
0.14517	39724758
0.14583	43980752
0.14650	48407759
0.14717	52990753
0.14783	57713099
0.14850	62557398
0.14917	67505804
0.14983	72540358
0.15050	77643653
0.15117	82798884
0.15183	87989587
0.15250	93200195
0.15317	98415541
0.15383	103621400
0.15450	108804340
0.15517	113951791
0.15583	119052121
0.15650	124094377
0.15717	129068116
0.15783	133963411
0.15850	138770960
0.15917	143481576
0.15983	148086806
0.16050	152578197
0.16117	156947525
0.16183	161186350
0.16250	165286483
0.16317	169239808
0.16383	173038803
0.16450	176676090
0.16517	180145281
0.16583	183440264
0.16650	186556466
0.16717	189490628
0.16783	192241154
0.16850	194807690
0.16917	197191189
0.16983	199393525
0.17050	201417453
0.17117	203266429
0.17183	204944385
0.17250	206455700
0.17317	207805094
0.17383	208997622
0.17450	210038396
0.17517	210932875
0.17583	211686566
0.17650	212305174
0.17717	212794458
0.17783	213160268
0.17850	213408294
0.17917	213544188
0.17983	213573566
0.18050	213501951
0.18117	213334620
0.18183	213076565
0.18250	212732525
0.18317	212307129
0.18383	211804885
0.18450	211230097
0.18517	210586820
0.18583	209878911
0.18650	209109977
0.18717	208283423
0.18783	207402478
0.18850	206470125
0.18917	205489231
0.18983	204462510
0.19050	203392479
0.19117	202281356
0.19183	201131261
0.19250	199944187
0.19317	198722046
0.19383	197466628
0.19450	196179745
0.19517	194863066
0.19583	193518093
0.19650	192146108
0.19717	190748269
0.19783	189325609
0.19850	187879235
0.19917	186410213
0.19983	184919619
0.20050	183408539
0.20117	181878009
0.20183	180329009
0.20250	178762386
0.20317	177178947
0.20383	175579519
0.20450	173965026
0.20517	172336412
0.20583	170694725
0.20650	169041074
0.20717	167376637
0.20783	165702472
0.20850	164019564
0.20917	162328714
0.20983	160630769
0.21050	158926501
0.21117	157216758
0.21183	155502384
0.21250	153784260
0.21317	152063233
0.21383	150340164
0.21450	148615870
0.21517	146891202
0.21583	145167018
0.21650	143444203
0.21717	141723605
0.21783	140006001
0.21850	138292162
0.21917	136582837
0.21983	134878726
0.22050	133180469
0.22117	131488754
0.22183	129804217
0.22250	128127482
0.22317	126459135
0.22383	124799746
0.22450	123149794
0.22517	121509748
0.22583	119880060
0.22650	118261196
0.22717	116653560
0.22783	115057552
0.22850	113473514
0.22917	111901818
0.22983	110342829
0.23050	108796875
0.23117	107264257
0.23183	105745308
0.23250	104240349
0.23317	102749669
0.23383	101273528
0.23450	99812149
0.23517	98365767
0.23583	96934594
0.23650	95518824
0.23717	94118623
0.23783	92734156
0.23850	91365549
0.23917	90012929
0.23983	88676392
0.24050	87356027
0.24117	86051882
0.24183	84763996
0.24250	83492376
0.24317	82237032
0.24383	80997955
0.24450	79775126
0.24517	78568476
0.24583	77377913
0.24650	76203338
0.24717	75044634
0.24783	73901666
0.24850	72774278
0.24917	71662332
0.24983	70565686
