[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\LabSolutions\Data\Project1\stephen\2016-01-04\66.gcd
Output Date	1/5/2016
Output Time	4:51:41 PM

[Configuration]
Instrument Name	WEISSTA-PC-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#2
Detector Name	DFID1
# of Channels	1

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	9600
Start Time(min)	0.000
End Time(min)	6.400
R.Time (min)	Intensity
0.00033	-8
0.00100	-8
0.00167	-8
0.00233	-8
0.00300	-8
0.00367	-8
0.00433	-8
0.00500	-7
0.00567	-7
0.00633	-7
0.00700	-7
0.00767	-6
0.00833	-6
0.00900	-5
0.00967	-5
0.01033	-4
0.01100	-4
0.01167	-3
0.01233	-3
0.01300	-3
0.01367	-2
0.01433	-2
0.01500	-1
0.01567	-1
0.01633	-1
0.01700	-1
0.01767	-0
0.01833	0
0.01900	0
0.01967	0
0.02033	1
0.02100	1
0.02167	1
0.02233	1
0.02300	1
0.02367	1
0.02433	1
0.02500	1
0.02567	1
0.02633	1
0.02700	1
0.02767	1
0.02833	1
0.02900	1
0.02967	1
0.03033	1
0.03100	0
0.03167	0
0.03233	-0
0.03300	-0
0.03367	-1
0.03433	-1
0.03500	-1
0.03567	-2
0.03633	-2
0.03700	-2
0.03767	-3
0.03833	-3
0.03900	-3
0.03967	-4
0.04033	-4
0.04100	-4
0.04167	-4
0.04233	-5
0.04300	-5
0.04367	-5
0.04433	-6
0.04500	-6
0.04567	-6
0.04633	-6
0.04700	-7
0.04767	-7
0.04833	-7
0.04900	-7
0.04967	-8
0.05033	-8
0.05100	-8
0.05167	-8
0.05233	-8
0.05300	-9
0.05367	-9
0.05433	-9
0.05500	-9
0.05567	-9
0.05633	-10
0.05700	-10
0.05767	-10
0.05833	-10
0.05900	-10
0.05967	-10
0.06033	-11
0.06100	-11
0.06167	-11
0.06233	-11
0.06300	-11
0.06367	-12
0.06433	-12
0.06500	-12
0.06567	-12
0.06633	-12
0.06700	-12
0.06767	-12
0.06833	-12
0.06900	-12
0.06967	-12
0.07033	-12
0.07100	-12
0.07167	-13
0.07233	-13
0.07300	-13
0.07367	-13
0.07433	-13
0.07500	-13
0.07567	-13
0.07633	-13
0.07700	-13
0.07767	-13
0.07833	-13
0.07900	-13
0.07967	-13
0.08033	-13
0.08100	-12
0.08167	-12
0.08233	-12
0.08300	-12
0.08367	-12
0.08433	-10
0.08500	-5
0.08567	3
0.08633	19
0.08700	44
0.08767	82
0.08833	141
0.08900	222
0.08967	340
0.09033	493
0.09100	664
0.09167	861
0.09233	1083
0.09300	1334
0.09367	1624
0.09433	1944
0.09500	2279
0.09567	2625
0.09633	3002
0.09700	3382
0.09767	3756
0.09833	4126
0.09900	4513
0.09967	4915
0.10033	5313
0.10100	5713
0.10167	6119
0.10233	6530
0.10300	6944
0.10367	7363
0.10433	7776
0.10500	8179
0.10567	8555
0.10633	8904
0.10700	9241
0.10767	9570
0.10833	9876
0.10900	10174
0.10967	10478
0.11033	10773
0.11100	11046
0.11167	11301
0.11233	11544
0.11300	11774
0.11367	11988
0.11433	12191
0.11500	12385
0.11567	12569
0.11633	12746
0.11700	12910
0.11767	13054
0.11833	13199
0.11900	13343
0.11967	13469
0.12033	13581
0.12100	13672
0.12167	13748
0.12233	13816
0.12300	13877
0.12367	13923
0.12433	13950
0.12500	13961
0.12567	13957
0.12633	13949
0.12700	13950
0.12767	13968
0.12833	14214
0.12900	15489
0.12967	20209
0.13033	33820
0.13100	67235
0.13167	138583
0.13233	275150
0.13300	509209
0.13367	874912
0.13433	1402977
0.13500	2120900
0.13567	3050276
0.13633	4208708
0.13700	5608786
0.13767	7259604
0.13833	9166135
0.13900	11330422
0.13967	13751811
0.14033	16427534
0.14100	19353354
0.14167	22523690
0.14233	25932043
0.14300	29571021
0.14367	33432618
0.14433	37507045
0.14500	41782834
0.14567	46245880
0.14633	50879667
0.14700	55665514
0.14767	60583698
0.14833	65614092
0.14900	70736523
0.14967	75931356
0.15033	81179965
0.15100	86464953
0.15167	91769776
0.15233	97079037
0.15300	102378103
0.15367	107653004
0.15433	112890835
0.15500	118080003
0.15567	123209804
0.15633	128269716
0.15700	133249567
0.15767	138139489
0.15833	142930325
0.15900	147613137
0.15967	152179351
0.16033	156620298
0.16100	160927591
0.16167	165092536
0.16233	169106819
0.16300	172961952
0.16367	176650123
0.16433	180163833
0.16500	183497052
0.16567	186644910
0.16633	189604571
0.16700	192374655
0.16767	194955379
0.16833	197347802
0.16900	199554403
0.16967	201578579
0.17033	203424493
0.17100	205096710
0.17167	206600101
0.17233	207939938
0.17300	209121805
0.17367	210151465
0.17433	211034647
0.17500	211777210
0.17567	212384858
0.17633	212863143
0.17700	213217306
0.17767	213452500
0.17833	213573726
0.17900	213585942
0.17967	213493907
0.18033	213302322
0.18100	213015605
0.18167	212637959
0.18233	212173327
0.18300	211625623
0.18367	210998669
0.18433	210296156
0.18500	209521429
0.18567	208677601
0.18633	207767709
0.18700	206794692
0.18767	205761391
0.18833	204670522
0.18900	203524599
0.18967	202326068
0.19033	201077383
0.19100	199780807
0.19167	198438535
0.19233	197052548
0.19300	195624892
0.19367	194157451
0.19433	192652227
0.19500	191111057
0.19567	189535772
0.19633	187928155
0.19700	186290042
0.19767	184623244
0.19833	182929637
0.19900	181211049
0.19967	179469344
0.20033	177706368
0.20100	175924003
0.20167	174124135
0.20233	172308680
0.20300	170479553
0.20367	168638615
0.20433	166787766
0.20500	164928854
0.20567	163063642
0.20633	161193727
0.20700	159320622
0.20767	157445727
0.20833	155570460
0.20900	153696221
0.20967	151824396
0.21033	149956253
0.21100	148092984
0.21167	146235741
0.21233	144385642
0.21300	142543710
0.21367	140710884
0.21433	138888054
0.21500	137076072
0.21567	135275722
0.21633	133487757
0.21700	131712891
0.21767	129951834
0.21833	128205243
0.21900	126473687
0.21967	124757674
0.22033	123057613
0.22100	121373904
0.22167	119706890
0.22233	118056934
0.22300	116424379
0.22367	114809542
0.22433	113212698
0.22500	111634099
0.22567	110073916
0.22633	108532285
0.22700	107009318
0.22767	105505164
0.22833	104019936
0.22900	102553710
0.22967	101106534
0.23033	99678439
0.23100	98269396
0.23167	96879357
0.23233	95508246
0.23300	94155952
0.23367	92822391
0.23433	91507449
0.23500	90211005
0.23567	88932912
0.23633	87673008
0.23700	86431072
0.23767	85206898
0.23833	84000266
0.23900	82810975
0.23967	81638819
0.24033	80483595
0.24100	79345090
0.24167	78223098
0.24233	77117401
0.24300	76027809
0.24367	74954123
0.24433	73896168
0.24500	72853756
0.24567	71826710
0.24633	70814860
0.24700	69818046
0.24767	68836092
0.24833	67868794
0.24900	66915928
0.24967	65977250
0.25033	65052533
0.25100	64141553
0.25167	63244075
0.25233	62359849
0.25300	61488640
0.25367	60630169
0.25433	59784188
0.25500	58950447
0.25567	58128705
0.25633	57318690
0.25700	56520136
0.25767	55732725
0.25833	54956167
0.25900	54190191
0.25967	53434545
0.26033	52688981
0.26100	51953238
0.26167	51227036
0.26233	50510101
0.26300	49802182
0.26367	49103032
0.26433	48412401
0.26500	47730037
0.26567	47055692
0.26633	46389108
0.26700	45730042
0.26767	45078241
0.26833	44433471
0.26900	43795490
0.26967	43164089
0.27033	42539052
0.27100	41920182
0.27167	41307266
0.27233	40700107
0.27300	40098505
0.27367	39502295
0.27433	38911285
0.27500	38325311
0.27567	37744219
0.27633	37167869
0.27700	36596137
0.27767	36028909
0.27833	35466087
0.27900	34907578
0.27967	34353307
0.28033	33803205
0.28100	33257224
0.28167	32715319
0.28233	32177465
0.28300	31643635
0.28367	31113829
0.28433	30588042
0.28500	30066291
0.28567	29548590
0.28633	29034965
0.28700	28525441
0.28767	28020068
0.28833	27518896
0.28900	27021987
0.28967	26529406
0.29033	26041224
0.29100	25557511
0.29167	25078340
0.29233	24603791
0.29300	24133944
0.29367	23668881
0.29433	23208687
0.29500	22753451
0.29567	22303264
0.29633	21858223
0.29700	21418420
0.29767	20983949
0.29833	20554903
0.29900	20131373
0.29967	19713451
0.30033	19301230
0.30100	18894796
0.30167	18494235
0.30233	18099627
0.30300	17711044
0.30367	17328551
0.30433	16952208
0.30500	16582063
0.30567	16218154
0.30633	15860508
0.30700	15509141
0.30767	15164062
0.30833	14825266
0.30900	14492740
0.30967	14166464
0.31033	13846410
0.31100	13532541
0.31167	13224814
0.31233	12923177
0.31300	12627574
0.31367	12337944
0.31433	12054222
0.31500	11776336
0.31567	11504210
0.31633	11237765
0.31700	10976917
0.31767	10721578
0.31833	10471661
0.31900	10227075
0.31967	9987729
0.32033	9753527
0.32100	9524372
0.32167	9300169
0.32233	9080819
0.32300	8866225
0.32367	8656292
0.32433	8450927
0.32500	8250038
0.32567	8053537
0.32633	7861338
0.32700	7673361
0.32767	7489528
0.32833	7309769
0.32900	7134017
0.32967	6962213
0.33033	6794298
0.33100	6630216
0.33167	6469907
0.33233	6313313
0.33300	6160367
0.33367	6011003
0.33433	5865144
0.33500	5722714
0.33567	5583630
0.33633	5447809
0.33700	5315167
0.33767	5185620
0.33833	5059084
0.33900	4935476
0.33967	4814714
0.34033	4696714
0.34100	4581399
0.34167	4468694
0.34233	4358528
0.34300	4250834
0.34367	4145553
0.34433	4042627
0.34500	3942005
0.34567	3843637
0.34633	3747479
0.34700	3653489
0.34767	3561625
0.34833	3471849
0.34900	3384126
0.34967	3298419
0.35033	3214695
0.35100	3132918
0.35167	3053056
0.35233	2975076
0.35300	2898946
0.35367	2824634
0.35433	2752107
0.35500	2681333
0.35567	2612281
0.35633	2544917
0.35700	2479212
0.35767	2415131
0.35833	2352646
0.35900	2291722
0.35967	2232331
0.36033	2174440
0.36100	2118018
0.36167	2063036
0.36233	2009463
0.36300	1957269
0.36367	1906423
0.36433	1856898
0.36500	1808664
0.36567	1761691
0.36633	1715952
0.36700	1671418
0.36767	1628063
0.36833	1585859
0.36900	1544780
0.36967	1504800
0.37033	1465892
0.37100	1428032
0.37167	1391194
0.37233	1355353
0.37300	1320486
0.37367	1286569
0.37433	1253577
0.37500	1221488
0.37567	1190280
0.37633	1159929
0.37700	1130415
0.37767	1101715
0.37833	1073810
0.37900	1046679
0.37967	1020302
0.38033	994659
0.38100	969732
0.38167	945501
0.38233	921949
0.38300	899056
0.38367	876806
0.38433	855182
0.38500	834167
0.38567	813745
0.38633	793901
0.38700	774622
0.38767	755892
0.38833	737700
0.38900	720030
0.38967	702871
0.39033	686210
0.39100	670036
0.39167	654338
0.39233	639107
0.39300	624333
0.39367	610009
0.39433	596126
0.39500	582678
0.39567	569660
0.39633	557067
0.39700	544891
0.39767	533127
0.39833	521763
0.39900	510788
0.39967	500189
0.40033	489954
0.40100	480071
0.40167	470527
0.40233	461311
0.40300	452410
0.40367	443811
0.40433	435505
0.40500	427479
0.40567	419724
0.40633	412228
0.40700	404982
0.40767	397976
0.40833	391202
0.40900	384651
0.40967	378314
0.41033	372182
0.41100	366250
0.41167	360508
0.41233	354949
0.41300	349567
0.41367	344353
0.41433	339303
0.41500	334410
0.41567	329668
0.41633	325070
0.41700	320611
0.41767	316287
0.41833	312091
0.41900	308020
0.41967	304067
0.42033	300228
0.42100	296500
0.42167	292876
0.42233	289354
0.42300	285930
0.42367	282599
0.42433	279358
0.42500	276204
0.42567	273132
0.42633	270140
0.42700	267224
0.42767	264381
0.42833	261609
0.42900	258905
0.42967	256265
0.43033	253688
0.43100	251171
0.43167	248712
0.43233	246308
0.43300	243958
0.43367	241658
0.43433	239408
0.43500	237206
0.43567	235048
0.43633	232935
0.43700	230863
0.43767	228831
0.43833	226839
0.43900	224883
0.43967	222964
0.44033	221079
0.44100	219228
0.44167	217409
0.44233	215621
0.44300	213862
0.44367	212132
0.44433	210429
0.44500	208753
0.44567	207102
0.44633	205475
0.44700	203872
0.44767	202291
0.44833	200731
0.44900	199193
0.44967	197674
0.45033	196175
0.45100	194694
0.45167	193231
0.45233	191786
0.45300	190358
0.45367	188946
0.45433	187549
0.45500	186168
0.45567	184803
0.45633	183451
0.45700	182114
0.45767	180791
0.45833	179482
0.45900	178185
0.45967	176902
0.46033	175631
0.46100	174373
0.46167	173127
0.46233	171893
0.46300	170672
0.46367	169462
0.46433	168264
0.46500	167077
0.46567	165902
0.46633	164738
0.46700	163584
0.46767	162442
0.46833	161311
0.46900	160190
0.46967	159079
0.47033	157978
0.47100	156888
0.47167	155807
0.47233	154737
0.47300	153676
0.47367	152625
0.47433	151583
0.47500	150550
0.47567	149525
0.47633	148510
0.47700	147504
0.47767	146506
0.47833	145516
0.47900	144535
0.47967	143562
0.48033	142597
0.48100	141640
0.48167	140691
0.48233	139749
0.48300	138816
0.48367	137889
0.48433	136971
0.48500	136060
0.48567	135155
0.48633	134258
0.48700	133368
0.48767	132485
0.48833	131609
0.48900	130740
0.48967	129877
0.49033	129021
0.49100	128172
0.49167	127329
0.49233	126492
0.49300	125662
0.49367	124838
0.49433	124020
